URL,Title,Salary,Contract Type,Job Type,Address
https://www.reed.co.uk/jobs/senior-data-governance-analyst-banking/52110236?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Senior Data Governance Analyst Banking ,"£70,000 - £75,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/data-analyst/52086956?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£35,000 - £40,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/data-analyst/52064970?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£35,000 - £40,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/data-analyst/52234392?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£30,000 - £40,000 per annum",Permanent,full-time,Birmingham
https://www.reed.co.uk/jobs/data-analyst/52098419?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£45,000 - £50,000 per annum",Permanent,full-time,Manchester
https://www.reed.co.uk/jobs/data-analyst/52026873?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,Salary negotiable,Permanent,full-time,London
https://www.reed.co.uk/jobs/data-analyst/52045278?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst ,"£45,000 - £50,000 per annum",Permanent,full-time,Wolverhampton
https://www.reed.co.uk/jobs/data-analyst/52008558?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£33,000 - £38,000 per annum",Permanent,full-time,Manchester
https://www.reed.co.uk/jobs/data-analyst/52101483?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£30,000 - £37,000 per annum",Permanent,full-time,Birmingham
https://www.reed.co.uk/jobs/data-analyst/52204586?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£40,000 - £45,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/data-analyst/52160383?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£30,000 - £35,000 per annum",Permanent,full-time,Leamington Spa
https://www.reed.co.uk/jobs/data-analyst/52093307?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,£450 per day,Contract,full-time,London
https://www.reed.co.uk/jobs/data-analyst/52182952?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£35,000 - £40,000 per annum",Permanent,full-time,Salford
https://www.reed.co.uk/jobs/data-analyst/51996254?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£23,000 - £28,000 per annum",Permanent,full-time,Swindon
https://www.reed.co.uk/jobs/data-analyst/52148497?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£30,000 - £35,000 per annum",Permanent,full-time,Edinburgh
https://www.reed.co.uk/jobs/data-analyst/52133270?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£40,000 - £50,000 per annum",Permanent,full-time,Birmingham
https://www.reed.co.uk/jobs/data-analyst/52008715?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£40,000 - £45,000 per annum, OTE, inc benefits, negotiable",Permanent,full-time,Luton
